Index,SiteId,Site,Satellite,ReceiverDiameterM,FeedHeightM,GeographicZaRadiusKm,BoresightElevationDeg,OuterAngleDeg,InnerAngleDeg,RobustExceedancePercent,RobustAvailabilityPercent,Percentile99p9IOverNDb,MaximumIOverNDb,RetaskDutyPercent,ShutdownDutyPercent,Feasible,StrictOuterAngleDeg,StrictInnerAngleDeg,StrictWorstExceedancePercent,StrictMaximumIOverNDb,StrictFeasible,ResultSource,ElapsedSeconds
1,fairmont_wv_goes_east,"Fairmont, WV",GOES East,4.5,5,30,44.2809114424822,40.5,1,0.0833101916134407,99.9166898083866,-7.84601674967619,2.55365437487312,10.9719710669078,0.010942834631883,1,42,1.5,0,-7.82430041459857,1,new run,52.3285777
2,fairmont_wv_goes_west,"Fairmont, WV",GOES West,4.5,5,30,16.7694889144017,39,2,0.0833101916134407,99.9166898083866,-7.44441458973376,-0.603829118412079,21.4151273745951,0.11754068716094,1,47.5,2,0,-7.42314491297913,1,new run,49.6219467
3,fairmont_wv_goes_backup,"Fairmont, WV",GOES Backup,4.5,5,30,37.9633158138749,27.5,4,0.0833101916134407,99.9166898083866,-6.52554356795619,1.48005631434711,4.79491752117699,0.151446654611212,1,33,6,0,-8.56769812716901,1,new run,48.9071046
4,sioux_falls_sd_goes_west,"Sioux Falls, SD",GOES West,4.5,7.4,50,25.6975310709391,41.5,8,0.0833101916134407,99.9166898083866,-6.60719880073385,3.0605609023539,28.1021474172954,1.04468949506674,1,47.5,13.5,0,-6.87137491042201,1,new run,49.3236724
5,sioux_falls_sd_goes_backup,"Sioux Falls, SD",GOES Backup,4.5,7.4,50,39.135245312228,45,5,0.0833101916134407,99.9166898083866,-6.41944589432797,1.46947409048714,24.3505513639002,0.254913639070875,1,47.5,6,0,-6.15715860475241,1,new run,47.9726666
6,sioux_falls_sd_goes_east,"Sioux Falls, SD",GOES East,4.5,7.4,50,35.3611143743051,39,3,0.0833101916134407,99.9166898083866,-6.64159102248309,-2.90415541387074,20.7170935080405,0.127684271619269,1,41.5,6,0,-6.25761821075345,1,new run,49.7311027
7,suitland_md_goes_east,"Suitland, MD",GOES East,4.5,24,50,45.1911247800409,46,5,0.0833101916134407,99.9166898083866,-6.14389898759804,3.39414983483039,15.5013281707262,0.136771745604553,1,47,14.5,0,-6.13962855941701,1,new run,48.7026711
8,suitland_md_goes_west,"Suitland, MD",GOES West,4.5,24,50,14.5242183129889,44.5,6,0.0833101916134407,99.9166898083866,-6.15031144710937,-4.14449181845622,26.5634145243348,1.05353203367701,1,47.5,13,0,-6.14608224506732,1,new run,50.1091804
9,suitland_md_goes_backup,"Suitland, MD",GOES Backup,4.5,24,50,36.7515098758381,34.5,20.5,0.0555401277422938,99.9444598722577,-11.6978110234684,1.0402611673712,7.89023456845707,2.39234449760766,1,39.5,20.5,0,-8.81751086558505,1,new run,48.4292928
10,wallops_va_goes_east,"Wallops, VA",GOES East,4.5,5,30,46.2414629749724,34,3.5,0.0833101916134407,99.9166898083866,-6.88317374897341,0.29541352079292,4.83088591965427,0.0717730178311091,1,36.5,4.5,0,-6.66702434419558,1,new run,46.6089701
11,wallops_va_goes_west,"Wallops, VA",GOES West,4.5,5,30,13.6933526920986,41,2,0.0833101916134407,99.9166898083866,-8.94787851181632,-0.726392773896762,22.4627116743299,0.232215424463002,1,45,2,0,-7.51067414398842,1,new run,46.6878338
12,wallops_va_goes_backup,"Wallops, VA",GOES Backup,4.5,5,30,36.6579361191948,27.5,9.5,0.0833101916134407,99.9166898083866,-6.45817098592193,-0.702850679543815,4.34675339239655,0.629661054793909,1,32,9.5,0,-6.33775680851136,1,new run,47.3464893
