OuterAngleDeg,InnerAngleDeg,WorstExceedancePercent,RobustExceedancePercent,MedianExceedancePercent,MaximumIOverNDb,P95IOverNDb,PracticalPercentileIOverNDb,RobustAvailabilityPercent,RetaskDutyPercent,ShutdownDutyPercent,Feasible,PracticalFeasible,Score,SearchStage
0,0,0.777561788392113,0.777561788392113,0.416550958067203,10.9798733402777,-20.7717554012438,6.79598894802233,99.2224382116079,0,0,0,0,0,coarse
0.5,0,0.777561788392113,0.777561788392113,0.416550958067203,10.9798733402777,-20.7717554012438,6.79598894802233,99.2224382116079,0.00891702706317714,0,0,0,0.5,coarse
0.5,0.5,0.72202166064982,0.72202166064982,0.388780894196057,10.9798733402777,-20.7717554012438,6.79598894802233,99.2779783393502,0,0.00891702706317714,0,0,1,coarse
1,0,0.777561788392113,0.777561788392113,0.416550958067203,10.9798733402777,-20.7717554012438,6.79598894802233,99.2224382116079,0.0378956754346857,0,0,0,1,coarse
1,0.5,0.72202166064982,0.72202166064982,0.388780894196057,10.9798733402777,-20.7717554012438,6.79598894802233,99.2779783393502,0.0312082032991529,0.00891702706317714,0,0,1.5,coarse
1,1,0.694251596778673,0.694251596778673,0.388780894196057,10.9798733402777,-20.9305191747141,6.79598894802233,99.3057484032213,0,0.0378956754346857,0,0,2,coarse
2,0,0.777561788392113,0.777561788392113,0.416550958067203,10.9798733402777,-20.7717554012438,6.79598894802233,99.2224382116079,0.11754068716094,0,0,0,2,coarse
2,0.5,0.72202166064982,0.72202166064982,0.388780894196057,10.9798733402777,-20.7717554012438,6.79598894802233,99.2779783393502,0.115280289330922,0.00891702706317714,0,0,2.5,coarse
2,1,0.694251596778673,0.694251596778673,0.388780894196057,10.9798733402777,-20.9305191747141,6.79598894802233,99.3057484032213,0.0926763110307414,0.0378956754346857,0,0,3,coarse
2,2,0.638711469036379,0.638711469036379,0.388780894196057,10.9798733402777,-21.5819308192509,6.79598894802233,99.3612885309636,0,0.11754068716094,0,0,4,coarse
3,0,0.777561788392113,0.777561788392113,0.416550958067203,10.9798733402777,-20.7717554012438,6.79598894802233,99.2224382116079,0.266726943942134,0,0,0,3,coarse
3,0.5,0.72202166064982,0.72202166064982,0.388780894196057,10.9798733402777,-20.7717554012438,6.79598894802233,99.2779783393502,0.264466546112116,0.00891702706317714,0,0,3.5,coarse
3,1,0.694251596778673,0.694251596778673,0.388780894196057,10.9798733402777,-20.9305191747141,6.79598894802233,99.3057484032213,0.241862567811935,0.0378956754346857,0,0,4,coarse
