OuterAngleDeg,InnerAngleDeg,WorstExceedancePercent,RobustExceedancePercent,MedianExceedancePercent,MaximumIOverNDb,P95IOverNDb,PracticalPercentileIOverNDb,RobustAvailabilityPercent,RetaskDutyPercent,ShutdownDutyPercent,Feasible,PracticalFeasible,Score,SearchStage
0,0,1.05526242710358,1.05526242710358,0.819216884198834,10.3770657509731,-18.0695207832946,5.70762822212687,98.9447375728964,0,0,0,0,0,coarse
0.5,0,1.05526242710358,1.05526242710358,0.819216884198834,10.3770657509731,-18.0695207832946,5.70762822212687,98.9447375728964,0,0,0,0,0.5,coarse
0.5,0.5,1.05526242710358,1.05526242710358,0.819216884198834,10.3770657509731,-18.0695207832946,5.70762822212687,98.9447375728964,0,0,0,0,1,coarse
1,0,1.05526242710358,1.05526242710358,0.819216884198834,10.3770657509731,-18.0695207832946,5.70762822212687,98.9447375728964,0.0066179876905429,0,0,0,1,coarse
1,0.5,1.05526242710358,1.05526242710358,0.819216884198834,10.3770657509731,-18.0695207832946,5.70762822212687,98.9447375728964,0.0066179876905429,0,0,0,1.5,coarse
1,1,0.999722299361288,0.999722299361288,0.819216884198834,10.3770657509731,-18.0695207832946,5.70762822212687,99.0002777006387,0,0.0066179876905429,0,0,2,coarse
2,0,1.05526242710358,1.05526242710358,0.819216884198834,10.3770657509731,-18.0695207832946,5.70762822212687,98.9447375728964,0.0220599589684763,0,0,0,2,coarse
2,0.5,1.05526242710358,1.05526242710358,0.819216884198834,10.3770657509731,-18.0695207832946,5.70762822212687,98.9447375728964,0.0220599589684763,0,0,0,2.5,coarse
2,1,0.999722299361288,0.999722299361288,0.819216884198834,10.3770657509731,-18.0695207832946,5.70762822212687,99.0002777006387,0.0154419712779334,0.0066179876905429,0,0,3,coarse
2,2,0.916412107747848,0.916412107747848,0.76367675645654,10.3770657509731,-18.2255114553307,4.4385105720874,99.0835878922522,0,0.0220599589684763,0,0,4,coarse
3,0,1.05526242710358,1.05526242710358,0.819216884198834,10.3770657509731,-18.0695207832946,5.70762822212687,98.9447375728964,0.0529439015243432,0,0,0,3,coarse
3,0.5,1.05526242710358,1.05526242710358,0.819216884198834,10.3770657509731,-18.0695207832946,5.70762822212687,98.9447375728964,0.0529439015243432,0,0,0,3.5,coarse
3,1,0.999722299361288,0.999722299361288,0.819216884198834,10.3770657509731,-18.0695207832946,5.70762822212687,99.0002777006387,0.0463259138338003,0.0066179876905429,0,0,4,coarse
3,2,0.916412107747848,0.916412107747848,0.76367675645654,10.3770657509731,-18.2255114553307,4.4385105720874,99.0835878922522,0.0331213566507684,0.0220599589684763,0,0,5,coarse
3,3,0.833101916134407,0.833101916134407,0.735906692585393,10.3770657509731,-18.45032127169,4.4385105720874,99.1668980838656,0,0.0529439015243432,0,0,6,coarse
5,0,1.05526242710358,1.05526242710358,0.819216884198834,10.3770657509731,-18.0695207832946,5.70762822212687,98.9447375728964,0.136771745604553,0,0,0,5,coarse
5,0.5,1.05526242710358,1.05526242710358,0.819216884198834,10.3770657509731,-18.0695207832946,5.70762822212687,98.9447375728964,0.136771745604553,0,0,0,5.5,coarse
5,1,0.999722299361288,0.999722299361288,0.819216884198834,10.3770657509731,-18.0695207832946,5.70762822212687,99.0002777006387,0.13015375791401,0.0066179876905429,0,0,6,coarse
5,2,0.916412107747848,0.916412107747848,0.76367675645654,10.3770657509731,-18.2255114553307,4.4385105720874,99.0835878922522,0.114711786636077,0.0220599589684763,0,0,7,coarse
5,3,0.833101916134407,0.833101916134407,0.735906692585393,10.3770657509731,-18.45032127169,4.4385105720874,99.1668980838656,0.08382784408021,0.0529439015243432,0,0,8,coarse
5,5,0.72202166064982,0.72202166064982,0.72202166064982,10.3770657509731,-18.8337829813341,4.4385105720874,99.2779783393502,0,0.136771745604553,0,0,10,coarse
10,0,1.05526242710358,1.05526242710358,0.819216884198834,10.3770657509731,-18.0695207832946,5.70762822212687,98.9447375728964,0.384944396920445,0,0,0,10,coarse
10,0.5,1.05526242710358,1.05526242710358,0.819216884198834,10.3770657509731,-18.0695207832946,5.70762822212687,98.9447375728964,0.384944396920445,0,0,0,10.5,coarse
10,1,0.999722299361288,0.999722299361288,0.819216884198834,10.3770657509731,-18.0695207832946,5.70762822212687,99.0002777006387,0.384944396920445,0.0066179876905429,0,0,11,coarse
10,2,0.916412107747848,0.916412107747848,0.76367675645654,10.3770657509731,-18.2255114553307,4.4385105720874,99.0835878922522,0.373688712799964,0.0220599589684763,0,0,12,coarse
10,3,0.833101916134407,0.833101916134407,0.735906692585393,10.3770657509731,-18.45032127169,4.4385105720874,99.1668980838656,0.342172797262618,0.0529439015243432,0,0,13,coarse
10,5,0.72202166064982,0.72202166064982,0.72202166064982,10.3770657509731,-18.8337829813341,4.4385105720874,99.2779783393502,0.283643239836117,0.136771745604553,0,0,15,coarse
10,10,0.72202166064982,0.72202166064982,0.694251596778673,10.3770657509731,-21.1212650019681,4.4385105720874,99.2779783393502,0,0.384944396920445,0,0,20,coarse
15,0,0.888642043876701,0.888642043876701,0.819216884198834,10.3770657509731,-18.0695207832946,5.70762822212687,99.1113579561233,0.794651298905948,0,0,0,15,coarse
15,0.5,0.888642043876701,0.888642043876701,0.819216884198834,10.3770657509731,-18.0695207832946,5.70762822212687,99.1113579561233,0.794651298905948,0,0,0,15.5,coarse
15,1,0.833101916134407,0.833101916134407,0.819216884198834,10.3770657509731,-18.0695207832946,5.70762822212687,99.1668980838656,0.794651298905948,0.0066179876905429,0,0,16,coarse
15,2,0.777561788392113,0.777561788392113,0.749791724520966,10.3770657509731,-18.2255114553307,3.69843884345766,99.2224382116079,0.783395614785467,0.0220599589684763,0,0,17,coarse
15,3,0.749791724520966,0.749791724520966,0.72202166064982,10.3770657509731,-18.45032127169,3.69843884345766,99.250208275479,0.75187969924812,0.0529439015243432,0,0,18,coarse
15,5,0.72202166064982,0.72202166064982,0.680366564843099,10.3770657509731,-18.8337829813341,3.69843884345766,99.2779783393502,0.69335014182162,0.136771745604553,0,0,20,coarse
15,10,0.72202166064982,0.72202166064982,0.680366564843099,10.3770657509731,-21.1212650019681,3.69843884345766,99.2779783393502,0.409706901985503,0.384944396920445,0,0,25,coarse
15,15,0.72202166064982,0.72202166064982,0.638711469036379,10.3770657509731,-23.3697729483463,3.69843884345766,99.2779783393502,0,0.794651298905948,0,0,30,coarse
20,0,0.80533185226326,0.80533185226326,0.597056373229658,6.72874488302617,-18.2255114553307,3.59291987674869,99.1946681477367,1.37874743552977,0,0,0,20,coarse
20,0.5,0.80533185226326,0.80533185226326,0.597056373229658,6.72874488302617,-18.2255114553307,3.59291987674869,99.1946681477367,1.37874743552977,0,0,0,20.5,coarse
20,1,0.80533185226326,0.80533185226326,0.569286309358512,6.72874488302617,-18.2255114553307,3.59291987674869,99.1946681477367,1.37212944783923,0.0066179876905429,0,0,21,coarse
20,2,0.72202166064982,0.72202166064982,0.513746181616218,6.72874488302617,-18.3518766467323,3.59291987674869,99.2779783393502,1.35668747656129,0.0220599589684763,0,0,22,coarse
20,3,0.694251596778673,0.694251596778673,0.472091085809497,6.72874488302617,-18.5633974216183,3.59291987674869,99.3057484032213,1.32580353400543,0.0529439015243432,0,0,23,coarse
20,5,0.610941405165232,0.610941405165232,0.458206053873924,6.72874488302617,-18.8467427775827,3.59291987674869,99.3890585948348,1.24197568992522,0.136771745604553,0,0,25,coarse
20,10,0.610941405165232,0.610941405165232,0.458206053873924,6.72874488302617,-21.1212650019681,3.59291987674869,99.3890585948348,1.01475811254991,0.384944396920445,0,0,30,coarse
20,15,0.527631213551791,0.527631213551791,0.458206053873924,6.72874488302617,-23.3697729483463,3.59291987674869,99.4723687864482,0.619884847014185,0.794651298905948,0,0,35,coarse
20,20,0.527631213551791,0.527631213551791,0.458206053873924,6.72874488302617,-25.1450908703362,3.59291987674869,99.4723687864482,0,1.37874743552977,0,0,40,coarse
25,0,0.666481532907526,0.666481532907526,0.541516245487365,6.72874488302617,-18.4121723260403,3.48737978579197,99.3335184670925,2.27658776554676,0,0,0,25,coarse
25,0.5,0.666481532907526,0.666481532907526,0.541516245487365,6.72874488302617,-18.4121723260403,3.48737978579197,99.3335184670925,2.27658776554676,0,0,0,25.5,coarse
25,1,0.666481532907526,0.666481532907526,0.513746181616218,6.72874488302617,-18.4121723260403,3.23917281390088,99.3335184670925,2.26996977785621,0.0066179876905429,0,0,26,coarse
25,2,0.583171341294085,0.583171341294085,0.458206053873924,6.72874488302617,-18.5242297321074,3.23917281390088,99.4168286587059,2.25452780657828,0.0220599589684763,0,0,27,coarse
25,3,0.555401277422938,0.555401277422938,0.430435990002777,6.72874488302617,-18.7038178447065,3.23917281390088,99.4445987225771,2.22364386402241,0.0529439015243432,0,0,28,coarse
25,5,0.472091085809497,0.472091085809497,0.416550958067204,6.72874488302617,-19.019777497767,3.23917281390088,99.5279089141905,2.1398160199422,0.136771745604553,0,0,30,coarse
25,10,0.472091085809497,0.472091085809497,0.416550958067204,6.72874488302617,-21.2647819620486,3.23917281390088,99.5279089141905,1.9125984425669,0.384944396920445,0,0,35,coarse
25,15,0.44432102193835,0.44432102193835,0.388780894196057,6.72874488302617,-23.5683133901496,3.23917281390088,99.5556789780616,1.51772517703117,0.794651298905948,0,0,40,coarse
25,20,0.44432102193835,0.44432102193835,0.388780894196057,6.72874488302617,-25.2099082999283,3.23917281390088,99.5556789780616,0.914654500945811,1.37874743552977,0,0,45,coarse
25,25,0.44432102193835,0.44432102193835,0.388780894196057,6.72874488302617,-26.4932877114744,3.23917281390088,99.5556789780616,0,2.27658776554676,0,0,50,coarse
30,0,0.472091085809497,0.472091085809497,0.458206053873924,6.72874488302617,-18.8090337480138,3.23917281390088,99.5279089141905,3.62003926672696,0,0,0,30,coarse
30,0.5,0.472091085809497,0.472091085809497,0.458206053873924,6.72874488302617,-18.8090337480138,3.23917281390088,99.5279089141905,3.62003926672696,0,0,0,30.5,coarse
30,1,0.472091085809497,0.472091085809497,0.44432102193835,6.72874488302617,-18.8090337480138,3.23917281390088,99.5279089141905,3.61342127903642,0.0066179876905429,0,0,31,coarse
