OuterAngleDeg,InnerAngleDeg,WorstExceedancePercent,RobustExceedancePercent,MedianExceedancePercent,MaximumIOverNDb,P95IOverNDb,PracticalPercentileIOverNDb,RobustAvailabilityPercent,RetaskDutyPercent,ShutdownDutyPercent,Feasible,PracticalFeasible,Score,SearchStage
0,0,0.916412107747848,0.916412107747848,0.458206053873924,11.571864763574,-24.8895875545835,7.26391611254512,99.0835878922522,0,0,0,0,0,coarse
0.5,0,0.916412107747848,0.916412107747848,0.458206053873924,11.571864763574,-24.8895875545835,7.26391611254512,99.0835878922522,0,0,0,0,0.5,coarse
0.5,0.5,0.916412107747848,0.916412107747848,0.458206053873924,11.571864763574,-24.8895875545835,7.26391611254512,99.0835878922522,0,0,0,0,1,coarse
1,0,0.916412107747848,0.916412107747848,0.458206053873924,11.571864763574,-24.8895875545835,7.26391611254512,99.0835878922522,0.00672872042166648,0,0,0,1,coarse
1,0.5,0.916412107747848,0.916412107747848,0.458206053873924,11.571864763574,-24.8895875545835,7.26391611254512,99.0835878922522,0.00672872042166648,0,0,0,1.5,coarse
1,1,0.916412107747848,0.916412107747848,0.44432102193835,11.571864763574,-24.8895875545835,7.26391611254512,99.0835878922522,0,0.00672872042166648,0,0,2,coarse
2,0,0.916412107747848,0.916412107747848,0.458206053873924,11.571864763574,-24.8895875545835,7.26391611254512,99.0835878922522,0.0198438946950655,0,0,0,2,coarse
2,0.5,0.916412107747848,0.916412107747848,0.458206053873924,11.571864763574,-24.8895875545835,7.26391611254512,99.0835878922522,0.0198438946950655,0,0,0,2.5,coarse
2,1,0.916412107747848,0.916412107747848,0.44432102193835,11.571864763574,-24.8895875545835,7.26391611254512,99.0835878922522,0.0154341403183843,0.00672872042166648,0,0,3,coarse
2,2,0.916412107747848,0.916412107747848,0.44432102193835,11.571864763574,-25.0916704682727,7.26391611254512,99.0835878922522,0,0.0198438946950655,0,0,4,coarse
3,0,0.916412107747848,0.916412107747848,0.458206053873924,11.571864763574,-24.8895875545835,7.26391611254512,99.0835878922522,0.0471010429516654,0,0,0,3,coarse
3,0.5,0.916412107747848,0.916412107747848,0.458206053873924,11.571864763574,-24.8895875545835,7.26391611254512,99.0835878922522,0.0471010429516654,0,0,0,3.5,coarse
3,1,0.916412107747848,0.916412107747848,0.44432102193835,11.571864763574,-24.8895875545835,7.26391611254512,99.0835878922522,0.0403723225299989,0.00672872042166648,0,0,4,coarse
3,2,0.916412107747848,0.916412107747848,0.44432102193835,11.571864763574,-25.0916704682727,7.26391611254512,99.0835878922522,0.0291577884938881,0.0198438946950655,0,0,5,coarse
3,3,0.916412107747848,0.916412107747848,0.44432102193835,11.571864763574,-25.3281311703916,7.26391611254512,99.0835878922522,0,0.0471010429516654,0,0,6,coarse
5,0,0.916412107747848,0.916412107747848,0.458206053873924,11.571864763574,-24.8895875545835,7.26391611254512,99.0835878922522,0.136817315240552,0,0,0,5,coarse
5,0.5,0.916412107747848,0.916412107747848,0.458206053873924,11.571864763574,-24.8895875545835,7.26391611254512,99.0835878922522,0.136817315240552,0,0,0,5.5,coarse
5,1,0.916412107747848,0.916412107747848,0.44432102193835,11.571864763574,-24.8895875545835,7.26391611254512,99.0835878922522,0.130088594818885,0.00672872042166648,0,0,6,coarse
5,2,0.916412107747848,0.916412107747848,0.44432102193835,11.571864763574,-25.0916704682727,7.26391611254512,99.0835878922522,0.118874060782774,0.0198438946950655,0,0,7,coarse
5,3,0.916412107747848,0.916412107747848,0.44432102193835,11.571864763574,-25.3281311703916,7.26391611254512,99.0835878922522,0.0897162722888864,0.0471010429516654,0,0,8,coarse
5,5,0.916412107747848,0.916412107747848,0.388780894196057,11.571864763574,-26.4683778234666,7.26391611254512,99.0835878922522,0,0.136817315240552,0,0,10,coarse
10,0,0.833101916134407,0.833101916134407,0.416550958067204,11.571864763574,-25.0251151849037,7.26391611254512,99.1668980838656,0.462038802287765,0,0,0,10,coarse
10,0.5,0.833101916134407,0.833101916134407,0.416550958067204,11.571864763574,-25.0251151849037,7.26391611254512,99.1668980838656,0.462038802287765,0,0,0,10.5,coarse
10,1,0.833101916134407,0.833101916134407,0.40266592613163,11.571864763574,-25.0584062936346,7.26391611254512,99.1668980838656,0.455310081866098,0.00672872042166648,0,0,11,coarse
10,2,0.833101916134407,0.833101916134407,0.40266592613163,11.571864763574,-25.2206791967925,7.26391611254512,99.1668980838656,0.444095547829988,0.0198438946950655,0,0,12,coarse
10,3,0.833101916134407,0.833101916134407,0.40266592613163,11.571864763574,-25.4894922079785,7.26391611254512,99.1668980838656,0.4149377593361,0.0471010429516654,0,0,13,coarse
10,5,0.833101916134407,0.833101916134407,0.347125798389336,11.571864763574,-26.4683778234666,7.26391611254512,99.1668980838656,0.325221487047213,0.136817315240552,0,0,15,coarse
10,10,0.833101916134407,0.833101916134407,0.347125798389336,11.571864763574,-28.4323159407743,7.26391611254512,99.1668980838656,0,0.462038802287765,0,0,20,coarse
15,0,0.833101916134407,0.833101916134407,0.40266592613163,11.571864763574,-25.4798498616728,7.26391611254512,99.1668980838656,0.836604239093866,0,0,0,15,coarse
15,0.5,0.833101916134407,0.833101916134407,0.40266592613163,11.571864763574,-25.4798498616728,7.26391611254512,99.1668980838656,0.836604239093866,0,0,0,15.5,coarse
15,1,0.833101916134407,0.833101916134407,0.388780894196057,11.571864763574,-25.4856535911711,7.26391611254512,99.1668980838656,0.829875518672199,0.00672872042166648,0,0,16,coarse
15,2,0.833101916134407,0.833101916134407,0.388780894196057,11.571864763574,-25.5779018087858,7.26391611254512,99.1668980838656,0.818660984636088,0.0198438946950655,0,0,17,coarse
15,3,0.833101916134407,0.833101916134407,0.388780894196057,11.571864763574,-25.8926273864984,7.26391611254512,99.1668980838656,0.7895031961422,0.0471010429516654,0,0,18,coarse
15,5,0.833101916134407,0.833101916134407,0.333240766453763,11.571864763574,-26.9390129012938,7.26391611254512,99.1668980838656,0.699786923853314,0.136817315240552,0,0,20,coarse
15,10,0.833101916134407,0.833101916134407,0.333240766453763,11.571864763574,-28.5635694263567,7.26391611254512,99.1668980838656,0.374565436806101,0.462038802287765,0,0,25,coarse
15,15,0.833101916134407,0.833101916134407,0.333240766453763,11.571864763574,-29.9545291827336,7.26391611254512,99.1668980838656,0,0.836604239093866,0,0,30,coarse
20,0,0.749791724520966,0.749791724520966,0.180505415162455,11.571864763574,-25.9619391983589,6.35891079794053,99.250208275479,1.3457440843333,0,0,0,20,coarse
20,0.5,0.749791724520966,0.749791724520966,0.180505415162455,11.571864763574,-25.9619391983589,6.35891079794053,99.250208275479,1.3457440843333,0,0,0,20.5,coarse
20,1,0.749791724520966,0.749791724520966,0.166620383226881,11.571864763574,-25.9932397457293,6.35891079794053,99.250208275479,1.33901536391163,0.00672872042166648,0,0,21,coarse
20,2,0.749791724520966,0.749791724520966,0.166620383226881,11.571864763574,-26.0936745410971,6.35891079794053,99.250208275479,1.32780082987552,0.0198438946950655,0,0,22,coarse
20,3,0.749791724520966,0.749791724520966,0.166620383226881,11.571864763574,-26.3065558629513,6.35891079794053,99.250208275479,1.29864304138163,0.0471010429516654,0,0,23,coarse
20,5,0.749791724520966,0.749791724520966,0.111080255484588,11.571864763574,-27.0590560200173,6.1954848518859,99.250208275479,1.20892676909274,0.136817315240552,0,0,25,coarse
20,10,0.749791724520966,0.749791724520966,0.111080255484588,11.571864763574,-28.5635694263567,6.1954848518859,99.250208275479,0.930845225027442,0.462038802287765,0,0,30,coarse
20,15,0.749791724520966,0.749791724520966,0.111080255484588,11.571864763574,-30.0499061892061,6.1954848518859,99.250208275479,0.594950603732162,0.836604239093866,0,0,35,coarse
20,20,0.749791724520966,0.749791724520966,0.111080255484588,11.571864763574,-31.9648992198202,6.1954848518859,99.250208275479,0,1.3457440843333,0,0,40,coarse
25,0,0.472091085809497,0.472091085809497,0.124965287420161,10.0554999293424,-26.0800547637964,0.556340310313983,99.5279089141905,2.20928694271729,0,0,0,25,coarse
25,0.5,0.472091085809497,0.472091085809497,0.124965287420161,10.0554999293424,-26.0800547637964,0.556340310313983,99.5279089141905,2.20928694271729,0,0,0,25.5,coarse
25,1,0.472091085809497,0.472091085809497,0.111080255484588,10.0554999293424,-26.0970786266496,0.556340310313983,99.5279089141905,2.20487718834061,0.00672872042166648,0,0,26,coarse
25,2,0.472091085809497,0.472091085809497,0.111080255484588,10.0554999293424,-26.1999834108942,0.556340310313983,99.5279089141905,2.18944304802223,0.0198438946950655,0,0,27,coarse
25,3,0.472091085809497,0.472091085809497,0.111080255484588,10.0554999293424,-26.3356917233623,0.556340310313983,99.5279089141905,2.17621378489218,0.0471010429516654,0,0,28,coarse
25,5,0.472091085809497,0.472091085809497,0.0555401277422938,10.0554999293424,-27.0682290740105,0.556340310313983,99.5279089141905,2.0902235745469,0.136817315240552,0,0,30,coarse
25,10,0.472091085809497,0.472091085809497,0.0555401277422938,10.0554999293424,-28.6012146953004,0.556340310313983,99.5279089141905,1.83886757507607,0.462038802287765,0,0,35,coarse
25,15,0.472091085809497,0.472091085809497,0.0555401277422938,10.0554999293424,-30.4232799457293,0.556340310313983,99.5279089141905,1.51386594024918,0.836604239093866,0,0,40,coarse
25,20,0.472091085809497,0.472091085809497,0.0555401277422938,10.0554999293424,-32.0173837558818,0.556340310313983,99.5279089141905,0.953422944670209,1.3457440843333,0,0,45,coarse
25,25,0.472091085809497,0.472091085809497,0.0555401277422938,10.0554999293424,-33.4292916967772,0.556340310313983,99.5279089141905,0,2.20928694271729,0,0,50,coarse
30,0,0.36101083032491,0.36101083032491,0.0694251596778673,0.933124363559045,-26.1462016784717,-0.233807422889913,99.6389891696751,3.35361820346607,0,0,0,30,coarse
30,0.5,0.36101083032491,0.36101083032491,0.0694251596778673,0.933124363559045,-26.1462016784717,-0.233807422889913,99.6389891696751,3.35361820346607,0,0,0,30.5,coarse
30,1,0.36101083032491,0.36101083032491,0.0555401277422938,0.933124363559045,-26.1999834108942,-0.233807422889913,99.6389891696751,3.34920844908939,0.00672872042166648,0,0,31,coarse
30,2,0.36101083032491,0.36101083032491,0.0555401277422938,0.933124363559045,-26.274162447079,-0.233807422889913,99.6389891696751,3.333774308771,0.0198438946950655,0,0,32,coarse
30,3,0.36101083032491,0.36101083032491,0.0555401277422938,0.933124363559045,-26.5076107886007,-0.233807422889913,99.6389891696751,3.32054504564096,0.0471010429516654,0,0,33,coarse
30,5,0.36101083032491,0.36101083032491,0,0.933124363559045,-27.1282898078168,-0.233807422889913,99.6389891696751,3.23455483529567,0.136817315240552,0,0,35,coarse
30,10,0.36101083032491,0.36101083032491,0,0.933124363559045,-28.6145671158138,-0.233807422889913,99.6389891696751,2.98319883582484,0.462038802287765,0,0,40,coarse
30,15,0.36101083032491,0.36101083032491,0,0.933124363559045,-30.5310883079267,-0.233807422889913,99.6389891696751,2.72629839682044,0.836604239093866,0,0,45,coarse
30,20,0.36101083032491,0.36101083032491,0,0.933124363559045,-32.1104359612182,-0.233807422889913,99.6389891696751,2.16585540124146,1.3457440843333,0,0,50,coarse
30,25,0.36101083032491,0.36101083032491,0,0.933124363559045,-33.4459860867644,-0.233856688608076,99.6389891696751,1.22238420993608,2.20928694271729,0,0,55,coarse
30,30,0.36101083032491,0.36101083032491,0,0.933124363559045,-35.6512320289955,-0.233856688608076,99.6389891696751,0,3.35361820346607,0,0,60,coarse
35,0,0.138850319355735,0.138850319355735,0.0277700638711469,-1.34210240590328,-26.2224767494667,-5.39734066893848,99.8611496806443,5.31816377827755,0,0,0,35,coarse
35,0.5,0.138850319355735,0.138850319355735,0.0277700638711469,-1.34210240590328,-26.2224767494667,-5.39734066893848,99.8611496806443,5.31816377827755,0,0,0,35.5,coarse
35,1,0.111080255484588,0.111080255484588,0.0277700638711469,-1.34210240590328,-26.2325081992586,-5.85216382418138,99.8889197445154,5.31375402390087,0.00672872042166648,0,0,36,coarse
