OuterAngleDeg,InnerAngleDeg,WorstExceedancePercent,RobustExceedancePercent,MedianExceedancePercent,MaximumIOverNDb,P95IOverNDb,PracticalPercentileIOverNDb,RobustAvailabilityPercent,RetaskDutyPercent,ShutdownDutyPercent,Feasible,PracticalFeasible,Score,SearchStage
0,0,0.749791724520966,0.749791724520966,0.555401277422938,10.9109285367792,-18.7977558641197,6.37649928138228,99.250208275479,0,0,0,0,0,coarse
0.5,0,0.749791724520966,0.749791724520966,0.555401277422938,10.9109285367792,-18.7977558641197,6.37649928138228,99.250208275479,0.0246719748794438,0,0,0,0.5,coarse
0.5,0.5,0.638711469036379,0.638711469036379,0.555401277422938,10.9109285367792,-19.0330230625014,6.37649928138228,99.3612885309636,0,0.0246719748794438,0,0,1,coarse
1,0,0.749791724520966,0.749791724520966,0.555401277422938,10.9109285367792,-18.7977558641197,6.37649928138228,99.250208275479,0.0724478594950604,0,0,0,1,coarse
1,0.5,0.638711469036379,0.638711469036379,0.555401277422938,10.9109285367792,-19.0330230625014,6.37649928138228,99.3612885309636,0.0526893523600439,0.0246719748794438,0,0,1.5,coarse
1,1,0.638711469036379,0.638711469036379,0.513746181616218,10.9109285367792,-19.2250570975802,6.37649928138228,99.3612885309636,0,0.0724478594950604,0,0,2,coarse
2,0,0.749791724520966,0.749791724520966,0.555401277422938,10.9109285367792,-18.7977558641197,6.37649928138228,99.250208275479,0.232215424463002,0,0,0,2,coarse
2,0.5,0.638711469036379,0.638711469036379,0.555401277422938,10.9109285367792,-19.0330230625014,6.37649928138228,99.3612885309636,0.218818380743982,0.0246719748794438,0,0,2.5,coarse
2,1,0.638711469036379,0.638711469036379,0.513746181616218,10.9109285367792,-19.2250570975802,6.37649928138228,99.3612885309636,0.187558612066271,0.0724478594950604,0,0,3,coarse
2,2,0.638711469036379,0.638711469036379,0.416550958067204,10.9109285367792,-19.9221192377139,6.37649928138228,99.3612885309636,0,0.232215424463002,0,0,4,coarse
3,0,0.749791724520966,0.749791724520966,0.555401277422938,10.9109285367792,-18.7977558641197,6.37649928138228,99.250208275479,0.430938239628455,0,0,0,3,coarse
3,0.5,0.638711469036379,0.638711469036379,0.555401277422938,10.9109285367792,-19.0330230625014,6.37649928138228,99.3612885309636,0.417541195909436,0.0246719748794438,0,0,3.5,coarse
3,1,0.638711469036379,0.638711469036379,0.513746181616218,10.9109285367792,-19.2250570975802,6.37649928138228,99.3612885309636,0.386281427231724,0.0724478594950604,0,0,4,coarse
3,2,0.638711469036379,0.638711469036379,0.416550958067204,10.9109285367792,-19.9221192377139,6.37649928138228,99.3612885309636,0.206366630076839,0.232215424463002,0,0,5,coarse
3,3,0.638711469036379,0.638711469036379,0.416550958067204,10.9109285367792,-20.2956258706675,6.37628001879447,99.3612885309636,0,0.430938239628455,0,0,6,coarse
5,0,0.749791724520966,0.749791724520966,0.555401277422938,10.9109285367792,-18.7977558641197,6.37649928138228,99.250208275479,0.888670566694949,0,0,0,5,coarse
5,0.5,0.638711469036379,0.638711469036379,0.555401277422938,10.9109285367792,-19.0330230625014,6.37649928138228,99.3612885309636,0.87527352297593,0.0246719748794438,0,0,5.5,coarse
5,1,0.638711469036379,0.638711469036379,0.513746181616218,10.9109285367792,-19.2250570975802,6.37649928138228,99.3612885309636,0.844013754298218,0.0724478594950604,0,0,6,coarse
5,2,0.638711469036379,0.638711469036379,0.416550958067204,10.9109285367792,-19.9221192377139,6.37649928138228,99.3612885309636,0.673984632272228,0.232215424463002,0,0,7,coarse
5,3,0.638711469036379,0.638711469036379,0.416550958067204,10.9109285367792,-20.2956258706675,6.37628001879447,99.3612885309636,0.46761800219539,0.430938239628455,0,0,8,coarse
5,5,0.638711469036379,0.638711469036379,0.416550958067204,10.9109285367792,-20.8084287142829,6.37628001879447,99.3612885309636,0,0.888670566694949,0,0,10,coarse
10,0,0.749791724520966,0.749791724520966,0.555401277422938,10.9109285367792,-18.7977558641197,6.37649928138228,99.250208275479,3.24655026124235,0,0,0,10,coarse
10,0.5,0.638711469036379,0.638711469036379,0.555401277422938,10.9109285367792,-19.0330230625014,6.37649928138228,99.3612885309636,3.23315321752333,0.0246719748794438,0,0,10.5,coarse
10,1,0.638711469036379,0.638711469036379,0.513746181616218,10.9109285367792,-19.2250570975802,6.37649928138228,99.3612885309636,3.20189344884562,0.0724478594950604,0,0,11,coarse
10,2,0.638711469036379,0.638711469036379,0.416550958067204,10.9109285367792,-19.9221192377139,6.37649928138228,99.3612885309636,3.01433483677935,0.232215424463002,0,0,12,coarse
10,3,0.638711469036379,0.638711469036379,0.416550958067204,10.9109285367792,-20.2956258706675,6.37628001879447,99.3612885309636,2.8156120216139,0.430938239628455,0,0,13,coarse
10,5,0.638711469036379,0.638711469036379,0.416550958067204,10.9109285367792,-20.8084287142829,6.37628001879447,99.3612885309636,2.3578796945474,0.888670566694949,0,0,15,coarse
10,10,0.638711469036379,0.638711469036379,0.416550958067204,10.9109285367792,-24.6204792311689,6.37628001879447,99.3612885309636,0,3.24655026124235,0,0,20,coarse
15,0,0.749791724520966,0.749791724520966,0.555401277422938,10.9109285367792,-18.8544672318881,6.37649928138228,99.250208275479,6.43265672311315,0,0,0,15,coarse
15,0.5,0.638711469036379,0.638711469036379,0.555401277422938,10.9109285367792,-19.0779809229777,6.37649928138228,99.3612885309636,6.40798474823371,0.0246719748794438,0,0,15.5,coarse
15,1,0.638711469036379,0.638711469036379,0.513746181616218,10.9109285367792,-19.2472653372643,6.37649928138228,99.3612885309636,6.38331277335427,0.0724478594950604,0,0,16,coarse
15,2,0.638711469036379,0.638711469036379,0.416550958067204,10.9109285367792,-19.952664330783,6.37649928138228,99.3612885309636,6.2554670853426,0.232215424463002,0,0,17,coarse
15,3,0.638711469036379,0.638711469036379,0.416550958067204,10.9109285367792,-20.2956258706675,6.37628001879447,99.3612885309636,6.07154872715039,0.430938239628455,0,0,18,coarse
15,5,0.638711469036379,0.638711469036379,0.416550958067204,10.9109285367792,-20.8084287142829,6.37628001879447,99.3612885309636,5.67231131546484,0.888670566694949,0,0,20,coarse
15,10,0.638711469036379,0.638711469036379,0.416550958067204,10.9109285367792,-24.6204792311689,6.37628001879447,99.3612885309636,3.52780350134497,3.24655026124235,0,0,25,coarse
15,15,0.638711469036379,0.638711469036379,0.416550958067204,10.9109285367792,-28.1066666253408,6.37621667669664,99.3612885309636,0,6.43265672311315,0,0,30,coarse
20,0,0.638711469036379,0.638711469036379,0.513746181616218,10.9109285367792,-19.3840066613569,5.62091299811934,99.3612885309636,9.38462912517305,0,0,0,20,coarse
20,0.5,0.527631213551791,0.527631213551791,0.513746181616218,10.9109285367792,-19.6680295372209,5.62091299811934,99.4723687864482,9.37123208145403,0.0246719748794438,0,0,20.5,coarse
20,1,0.527631213551791,0.527631213551791,0.430435990002777,10.9109285367792,-20.0004588884671,5.62091299811934,99.4723687864482,9.33997231277631,0.0724478594950604,0,0,21,coarse
20,2,0.527631213551791,0.527631213551791,0.319355734518189,10.9109285367792,-20.5589717155033,5.62091299811934,99.4723687864482,9.15241370071004,0.232215424463002,0,0,22,coarse
20,3,0.527631213551791,0.527631213551791,0.319355734518189,10.9109285367792,-20.9729385822128,5.61896134399618,99.4723687864482,8.98266966529964,0.430938239628455,0,0,23,coarse
20,5,0.527631213551791,0.527631213551791,0.319355734518189,10.9109285367792,-21.81033673503,5.61896134399618,99.4723687864482,8.56341818997421,0.888670566694949,0,0,25,coarse
20,10,0.527631213551791,0.527631213551791,0.319355734518189,10.9109285367792,-25.0269074433918,5.61879345589094,99.4723687864482,6.47131454777969,3.24655026124235,0,0,30,coarse
20,15,0.527631213551791,0.527631213551791,0.319355734518189,10.9109285367792,-28.1066666253408,5.61879345589094,99.4723687864482,3.01433483677935,6.43265672311315,0,0,35,coarse
20,20,0.527631213551791,0.527631213551791,0.319355734518189,10.910928161651,-30.6718622451068,5.61879345589094,99.4723687864482,0,9.38462912517305,0,0,40,coarse
25,0,0.499861149680644,0.499861149680644,0.36101083032491,9.11900327729765,-20.157844840207,5.54353916618574,99.5001388503194,12.1935426249274,0,0,0,25,coarse
25,0.5,0.499861149680644,0.499861149680644,0.333240766453763,9.11900327729765,-20.2945775731458,5.54353916618574,99.5001388503194,12.1801455812084,0.0246719748794438,0,0,25.5,coarse
